account_manager,bl_number,job_order_date,customer_name,consignee_name,shipment_type,scope_of_work,service_type,cargo_type,carrier,vessel_code,container_count,commodity,shipment_date,terminal,shipment_location,overseas_port,gcss_updatedate,kewill_jobno,kewill_invoiceno,cro_date
NULL,210112817,2021-06-08,"UNITED GULF CONSTRUCTION CO WLL","UNITED GULF CONSTRUCTION CO WLL",IMPORT,IH+CCD,CY,DRY,MLL,,2,STEEL,2021-05-06,KWSWKTM,SHUWAIKH,INCCUTR,0000-00-00,VIKWI0000769,5614126296,0000-00-00
NULL,210113023,2021-06-08,"UNITED GULF CONSTRUCTION CO WLL","UNITED GULF CONSTRUCTION CO WLL",IMPORT,IH+CCD,CY,DRY,MLL,,3,STEEL,2021-05-06,KWSWKTM,SHUWAIKH,INCCUTR,0000-00-00,VIKWI0000770,5614126293,0000-00-00
NULL,210113844,2021-06-08,"UNITED GULF CONSTRUCTION CO WLL","UNITED GULF CONSTRUCTION CO WLL",IMPORT,IH+CCD,CY,DRY,MLL,,9,STEEL,2021-05-06,KWSWKTM,SHUWAIKH,INCCUTR,0000-00-00,VIKWI0000778,5614126294,0000-00-00
NULL,210115217,2021-06-11,"KHALAF STORE","KHALAF STORE",IMPORT,IH,SD,DRY,MSL,,1,,2021-05-15,JOAHZTM,AMMAN,JEDDAH,2021-05-14,,,0000-00-00
NULL,210123151,2021-06-05,"JUBAIL PALLET PLANT","JUBAIL PALLET PLANT",IMPORT,IH+CCD,CY,DRY,MSL,"CAP SAN ANTONIO / 116N",4,PALLETS,2021-06-17,SADMM,JUBAIL,BRAZIL,2021-05-30,VIRIA0005714,,0000-00-00
NULL,210123465,2021-06-29,"JUBAIL PALLET PLANT","JUBAIL PALLET PLANT",IMPORT,IH+CCD,CY,DRY,MSL,"MAERSK LOTA /121 N",5,PALLETS,2021-07-08,SADMM,DAMMAM,ITAJIA,2021-06-29,VIRIA0005863,,0000-00-00
NULL,210137448,2021-06-11,"ALDAFA FOR TRADE AND MANUFACTURING","ALDAFA FOR TRADE AND MANUFACTURING",IMPORT,IH+CCD,SD,DRY,MSL,,1,,2021-05-24,JOAHZTM,AMMAN,JEDDAH,2021-05-23,,,0000-00-00
NULL,210141916,2021-06-09,"OBEIKAN GLASS COMPANY","OBEIKAN GLASS COMPANY",EXPORT,IH+CCO,SD,DRY,MSL,,4,Glass,2021-05-01,SAJED,JEDDAH,GUAYAQUIL,2021-04-15,,,2021-04-15
NULL,210175929,2021-06-13,,"SIG COMBIBLOC OBEIKAN CO LTD",EXPORT,IH+CCO,SD,DRY,MSL,,4,,2021-05-14,"JEDDAH RED SEA GATEWAY TERMINAL",RIAYDH,Algeria,2021-05-15,,,2021-05-01
NULL,210176550,2021-06-12,"FIVE STAR","FIVE STAR",IMPORT,IH+CCD,CY,DRY,MLL,,1,ELECTRONICS,2021-05-20,KWSWKTM,SHUWAIKH,INDIA,0000-00-00,VIKWI0000790,,0000-00-00
NULL,210185194,2021-06-12,"TAMKEEN INTERNATIONAL CO","TAMKEEN INTERNATIONAL CO",IMPORT,IH+CCD,SD,DRY,MSL,"GFS PRESTIGE/012S",5,REFRIGERATOR,2021-05-16,SAJED,JEDDAH,CNIWN,2021-05-20,,,0000-00-00
NULL,210189363,2021-06-16,"UNITED OCEAN SHIPPING CORPORATION EST","TETRA PAK MANUFACTURING LTD",IMPORT,IH+CCD,SD,DRY,MSL,"CELSIUS NICOSIA/123E",17,PAPER,2021-06-04,JEDDAH,JEDDAH,CNIWN,2021-06-08,,,0000-00-00
NULL,210192453,2021-06-12,"TAMKEEN INTERNATIONAL CO","TAMKEEN INTERNATIONAL CO",IMPORT,IH+CCD,SD,DRY,MSL,"GFS PRIDE/011S",2,FREEZER,2021-06-21,SAJED,JEDDAH,CNNPO,2021-05-25,,,0000-00-00
NULL,210199191,2021-06-27,ATLAS,ATLAS,IMPORT,IH+CCD,CY,REEF,MSL,,6,WOOD,2021-06-03,KWSWKTM,SHUWAIKH,KOPER,0000-00-00,VIKWI0000811,5614126344,0000-00-00
NULL,210217992,2021-06-08,"ARABIAN UNITED FLOAT GLASS CO","ARABIAN UNITED FLOAT GLASS CO",EXPORT,IH+CCO,SD,DRY,MSL,,2,GLASS,2021-05-05,JEDDAH,,BANGALDESH,0000-00-00,,,0000-00-00
NULL,210218016,2021-06-08,"ARABIAN UNITED FLOAT GLASS CO","ARABIAN UNITED FLOAT GLASS CO",EXPORT,IH+CCO,SD,DRY,MSL,,2,GLASS,2021-05-20,JEDDAH,,BANGALDESH,0000-00-00,,,0000-00-00
NULL,210218026,2021-06-08,"ARABIAN UNITED FLOAT GLASS CO","ARABIAN UNITED FLOAT GLASS CO",EXPORT,IH+CCO,SD,DRY,MSL,,2,GLASS,2021-05-09,JEDDAH,,BANGALDESH,0000-00-00,,,0000-00-00
NULL,210218036,2021-06-08,"ARABIAN UNITED FLOAT GLASS CO","ARABIAN UNITED FLOAT GLASS CO",EXPORT,IH+CCO,SD,DRY,MSL,,2,GLASS,2021-05-05,JEDDAH,,BANGALDESH,0000-00-00,,,0000-00-00
NULL,210218052,2021-06-08,"ARABIAN UNITED FLOAT GLASS CO","ARABIAN UNITED FLOAT GLASS CO",EXPORT,IH+CCO,SD,DRY,MSL,,5,GLASS,2021-05-08,JEDDAH,,BANGALDESH,0000-00-00,,,0000-00-00
NULL,210219081,2021-06-08,"NET LOGISTICS","NET LOGISTICS",EXPORT,IH,SD,DRY,MSL,,1,"FOOD STUF",2021-05-04,JOAHZTM,AMMAN,JEDDAH,0000-00-00,,,2021-04-26
NULL,210226429,2021-06-13,,"OBEIKAN ELOPAK FACTORY FOR PACK CO",EXPORT,IH+CCO,SD,DRY,MSL,"MAERSK GUAYAQUIL",1,"Paper,Paper Board and Packing materials",2021-05-01,"JEDDAH RED SEA GATEWAY TERMINAL",RIAYDH,Morocco,2021-05-26,,,2021-04-20
NULL,210227303,2021-06-12,"TETRA PAK MANUFACTURING LTD","TETRA PAK MANUFACTURING LTD",EXPORT,IH+CCO,SD,DRY,MSL,"CAP SAN LAZARO/117E",2,"PAPER, PAPERBOARD, PACKING MATERIAL",2021-05-10,SAJED,JEDDAH,INJHT,2021-04-19,,,2021-04-14
NULL,210259913,2021-06-12,"TETRA PAK MANUFACTURING LTD","TETRA PAK MANUFACTURING LTD",EXPORT,IH+CCO,SD,DRY,MSL,"MERKUR KIEL / 115E",1,PAPER,2021-05-25,SAJED,JEDDAH,INJHT,2021-04-28,,,2021-04-20
NULL,210260590,2021-06-13,"OBEIKAN GLASS COMPANY","OBEIKAN GLASS COMPANY",EXPORT,IH+CCO,SD,DRY,MSL,,20,Glass,2021-05-18,SAJED,JEDDAH,YEMEN,2021-04-25,,,2021-04-25
NULL,210266152,2021-06-07,"MADAR TRADING","MADAR TRADING",IMPORT,IH,SD,DRY,CMA,,8,TIMBER,2021-05-30,JEDDAH,JEDDAH,SLOVENIA,2021-06-02,,,0000-00-00
NULL,210266792,2021-06-23,"INTERNATIONAL TIMBER CO LTD","INTERNATIONAL TIMBER CO LTD",IMPORT,IH+CCD,SD,DRY,MSL,,30,TIMBER,2021-06-17,SAJED,KAP,SWEDEN,0000-00-00,VIRIA0005837,,0000-00-00
